Administrative District,No. of Edu. Zones,No. of Edu. Divisions,All Govt. Schools,National Schools,Provincial Schools
COLOMBO,4,14,396,39,357
GAMPAHA,4,13,535,20,515
KALUTARA,3,11,417,20,397
KANDY,6,18,650,36,614
MATALE,4,11,312,12,300
NUWARA ELIYA,5,11,549,8,541
GALLE,4,15,427,30,397
MATARA,4,14,358,23,335
HAMBANTHOTA,3,10,320,17,303
JAFFNA,5,15,447,8,439
MANNAR,2,5,131,5,126
VAVUNIYA,2,5,171,5,166
MULLAITIVU,2,6,127,3,124
KILINOCHCHI,2,4,104,3,101
BATTICALOA,5,14,365,13,352
AMPARA,7,21,443,17,426
TRINCOMALEE,5,13,315,12,303
KURUNEGALA,6,22,871,31,840
PUTTALAM,2,9,372,8,364
ANURADHAPURA,5,22,559,8,551
POLONNARUWA,3,8,252,9,243
BADULLA,6,14,604,27,577
MONERAGALA,4,9,291,11,280
RATNAPURA,4,16,594,16,578
KEGALLE,3,12,516,15,501
